5.000000 0.002226 -0.423521 0.097279
4.900000 0.000583 -0.430673 0.094607
4.800000 -0.001552 -0.442289 0.100723
4.700000 -0.001242 -0.451463 0.102053
4.600000 0.001788 -0.464216 0.112115
4.500000 0.000147 -0.475423 0.125359
4.400000 0.002331 -0.488195 0.120233
4.300000 -0.001542 -0.500427 0.131845
4.200000 -0.001612 -0.515790 0.149905
4.100000 -0.002440 -0.531646 0.151013
4.000000 0.001528 -0.547077 0.167061
3.900000 -0.000433 -0.564942 0.166818
3.800000 0.003340 -0.581713 0.175170
3.700000 0.000939 -0.600471 0.207853
3.600000 -0.005661 -0.625893 0.224560
3.500000 0.001495 -0.647809 0.260808
3.400000 -0.004900 -0.672942 0.266706
3.300000 0.000668 -0.700676 0.253311
3.200000 0.004738 -0.731310 0.345525
3.100000 -0.006978 -0.764937 0.370067
3.000000 -0.015004 -0.799210 0.423334
2.900000 0.003358 -0.841588 0.486705
2.800000 0.014701 -0.889856 0.476241
2.700000 0.024158 -0.940062 0.579576
2.600000 0.026184 -1.005990 0.584105
2.500000 0.043229 -1.078191 0.866822
2.400000 0.040603 -1.169421 0.740575
2.300000 -0.426801 -1.307190 1.096185
2.200000 0.176662 -1.388970 0.923785
2.100000 0.375822 -1.512256 0.932524
2.000000 0.875520 -1.676393 0.648387
1.900000 0.916597 -1.752464 0.639560
1.800000 0.942312 -1.806003 0.513434
1.700000 0.959996 -1.850666 0.349696
1.600000 0.972749 -1.884904 0.289013
1.500000 0.981307 -1.909715 0.251510
1.400000 0.987784 -1.929252 0.144524
1.300000 0.992369 -1.943834 0.112892
1.200000 0.995771 -1.954606 0.071967
1.100000 0.997738 -1.961159 0.051830
1.000000 0.998887 -1.964968 0.026574
0.900000 0.999502 -1.967093 0.013921
0.800000 0.999831 -1.968196 0.006471
0.700000 0.999929 -1.968508 0.003125
0.600000 0.999974 -1.968686 0.000935
0.500000 0.999998 -1.968742 0.000218
0.400000 1.000000 -1.968750 0.000000
0.300000 1.000000 -1.968750 0.000000
0.200000 1.000000 -1.968750 0.000000
0.100000 1.000000 -1.968750 0.000000
